,Users,Songs,Artists,Playtime,Album
294,franhale,Eruption,Van Halen,"10 Apr 2017, 11:13",Van Halen (Reissue)
295,franhale,Set It,My Nu Leng,"10 Apr 2017, 11:07",Horizons
296,franhale,I Fought the Law,The Clash,"10 Apr 2017, 11:03",The Clash (US Version)
297,franhale,Never Seen This Before,The Delta Riggs,"10 Apr 2017, 10:59",Active Galactic
298,franhale,Mob Rule,Bad//Dreems,"10 Apr 2017, 10:56",Mob Rule
299,franhale,Glad All Over,Billy Fury,"10 Apr 2017, 10:54",The Rocker
300,franhale,N.I.B.,Black Sabbath,"10 Apr 2017, 10:48",The Ultimate Collection
301,franhale,The Renegade - Radio Edit,Friend Within,"10 Apr 2017, 10:45",The Renegade
302,franhale,Do Anything You Wanna Do - Single Edit,Eddie & The Hot Rods,"10 Apr 2017, 10:41",Do Anything You Wanna Do
303,franhale,Viceroy,Violent Soho,"07 Apr 2017, 13:50",WACO
304,franhale,Seven Nation Army,The White Stripes,"07 Apr 2017, 13:46",Elephant
305,franhale,Chelsea Dagger,The Fratellis,"07 Apr 2017, 13:42",Costello Music
306,franhale,Woman,Wolfmother,"07 Apr 2017, 13:39",Wolfmother
307,franhale,"Two Steps, Twice",Foals,"07 Apr 2017, 13:35",Antidotes
308,franhale,Cake,FREAK,"07 Apr 2017, 13:31",Cake
309,franhale,Oh Well - Live Version,Fleetwood Mac,"07 Apr 2017, 13:29",Black Magic - The Best of the Early Years
310,franhale,Silver Machine - Original Single Version;Live At The Roundhouse London; 1996 Remastered Version,Hawkwind,"07 Apr 2017, 13:24",In Search of Space
311,franhale,Growing on Me,The Darkness,"07 Apr 2017, 13:20",Permission to Land
312,franhale,Johnny B. Goode,Chuck Berry,"07 Apr 2017, 13:17",Universal Masters collection
313,franhale,Hit Me With Your Rhythm Stick,Ian Dury,"07 Apr 2017, 13:14",Sex&Drugs&Rock&Roll - The Essential Collection
314,franhale,Better Off Without You,Mallory Knox,"07 Apr 2017, 13:11",Wired
315,franhale,Detroit Rock City,Kiss,"07 Apr 2017, 11:49","Smashes, Thrashes & Hits"
316,franhale,Fangs,Frank Carter & The Rattlesnakes,"07 Apr 2017, 11:46",Rotten
317,franhale,Monkey,The Living End,"06 Apr 2017, 15:36",Shift
318,franhale,Alice Come Home,Blaenavon,"30 Mar 2017, 13:15",Alice Come Home
319,franhale,Spinning Wheel,Black Honey,"30 Mar 2017, 13:12",Spinning Wheel
320,franhale,Is This What You Wanted?,HMLTD,"30 Mar 2017, 13:07",Stained / Is This What You Wanted?
321,franhale,All This Way,The Magic Gang,"30 Mar 2017, 13:04",All This Way
322,franhale,Egg,The Garden,"30 Mar 2017, 13:00",haha
323,franhale,Sucker,The Big Moon,"30 Mar 2017, 12:57",Sucker
324,franhale,Heel / Heal,Idles,"30 Mar 2017, 12:48",Brutalism
325,franhale,All My Pride,Black Honey,"30 Mar 2017, 11:47",Headspin
326,franhale,To the Door,HMLTD,"30 Mar 2017, 11:31",To the Door / Music!
327,franhale,Is This What You Wanted?,HMLTD,"30 Mar 2017, 11:26",Stained / Is This What You Wanted?
328,franhale,Stained,HMLTD,"30 Mar 2017, 11:23",Stained / Is This What You Wanted?
329,franhale,Music!,HMLTD,"30 Mar 2017, 11:18",To the Door / Music!
330,franhale,To the Door,HMLTD,"30 Mar 2017, 11:15",To the Door / Music!
331,franhale,Stained,HMLTD,"30 Mar 2017, 11:11",Stained / Is This What You Wanted?
332,franhale,Music!,HMLTD,"30 Mar 2017, 11:07",To the Door / Music!
333,franhale,Is This What You Wanted?,HMLTD,"30 Mar 2017, 11:02",Stained / Is This What You Wanted?
334,franhale,To the Door,HMLTD,"30 Mar 2017, 10:59",To the Door / Music!
335,franhale,Needle In A Haystack - Single Version,The Velvelettes,"28 Mar 2017, 17:12",The Very Best Of The Velvelettes
336,franhale,Dancing in the Street,Martha Reeves & The Vandellas,"28 Mar 2017, 17:09",The Ultimate Collection: Martha Reeves & The Vandellas
337,franhale,My Guy,Mary Wells,"28 Mar 2017, 17:06",The Definitive Collection
338,franhale,You Can't Hurry Love,The Supremes,"28 Mar 2017, 17:02",Gold
339,franhale,I Only Want To Be With You,Dusty Springfield,"28 Mar 2017, 16:59",Complete A And B Sides 1963 - 1970
340,franhale,I'd Rather Go Blind - Single Version,Etta James,"28 Mar 2017, 16:56",Tell Mama The Complete Muscle Shoals Sessions (Remastered Reissue)
341,franhale,Try a Little Tenderness,Otis Redding,"28 Mar 2017, 16:53",Stax-Volt: The Complete Singles 1959-1968
342,franhale,It Takes Two,Marvin Gaye,"28 Mar 2017, 16:45",Take Two Plus
343,franhale,Master Blaster (Jammin'),Stevie Wonder,"28 Mar 2017, 16:39",Hotter Than July
344,franhale,Let's Stay Together,Al Green,"28 Mar 2017, 16:36",Let's Stay Together
345,franhale,You Shook Me All Night Long,AC/DC,"28 Mar 2017, 16:32",Who Made Who
346,franhale,Gettin' Tighter - 2010 Digital Remaster,Deep Purple,"28 Mar 2017, 16:26",Come Taste The Band: 35th Anniversary Edition
347,franhale,Juke Box Hero,Foreigner,"28 Mar 2017, 16:20",4 [Expanded]
348,franhale,Jump,Van Halen,"28 Mar 2017, 16:15",The Very Best of Van Halen
349,franhale,Pour Some Sugar On Me (2012),Def Leppard,"28 Mar 2017, 16:11",Pour Some Sugar On Me (2012)
350,franhale,Freedom Rider - Remastered,Traffic,"28 Mar 2017, 16:06",John Barleycorn Must Die Deluxe Edition
351,franhale,Feed My Frankenstein,Alice Cooper,"28 Mar 2017, 16:01",Hey Stoopid
352,franhale,Gimme All Your Lovin',ZZ Top,"28 Mar 2017, 15:56",Eliminator
353,franhale,Come On (Let the Good Times Roll),Jimi Hendrix,"28 Mar 2017, 15:52",Electric Ladyland
354,franhale,Crazy on You,Heart,"28 Mar 2017, 15:39",Dreamboat Annie
355,franhale,One of These Nights,Eagles,"28 Mar 2017, 15:34",One Of These Nights (Remastered)
356,franhale,Maneater - Remastered,Hall & Oates,"28 Mar 2017, 15:29",H2O
357,franhale,Paint It Black,The Rolling Stones,"28 Mar 2017, 15:25",AFTERMATH (Remastered)
358,franhale,The Chain,Fleetwood Mac,"28 Mar 2017, 14:58",Rumours
359,franhale,If This Is It,Huey Lewis & The News,"28 Mar 2017, 14:54",Sports
360,franhale,Have a Drink on Me,AC/DC,"28 Mar 2017, 14:50",Back in Black
361,franhale,For What It's Worth,Buffalo Springfield,"28 Mar 2017, 14:47",Buffalo Springfield
362,franhale,Double Vision,Foreigner,"28 Mar 2017, 14:44",Double Vision [Expanded]
363,franhale,Piano Man,Billy Joel,"28 Mar 2017, 14:38",The Essential Billy Joel
364,franhale,Burnout,Green Day,"28 Mar 2017, 14:36",Dookie
365,franhale,Loco,Coal Chamber,"28 Mar 2017, 14:31",Coal Chamber
366,franhale,Lift Me Up (feat. Rob Halford of Judas Priest),Five Finger Death Punch,"28 Mar 2017, 14:25","The Wrong Side of Heaven and the Righteous Side of Hell, Volume 1"
367,franhale,Chiron,All That Remains,"28 Mar 2017, 13:51",Overcome
368,franhale,Bodies,Drowning Pool,"28 Mar 2017, 13:48",Sinner
369,franhale,Cigaro,System of a Down,"28 Mar 2017, 13:46",Mezmerize
370,franhale,Sure And Certain,Jimmy Eat World,"28 Mar 2017, 13:42",Integrity Blues
371,franhale,Worry Rock,Green Day,"28 Mar 2017, 13:40",Nimrod
372,franhale,Gives You Hell,The All-American Rejects,"28 Mar 2017, 13:37",When the World Comes Down
373,franhale,Number 1,Tinchy Stryder,"28 Mar 2017, 13:33",Catch 22
374,franhale,Smash TV,Chase & Status,"28 Mar 2017, 13:29",More Than a Lot (New Edition)
375,franhale,New Flows,Redlight,"28 Mar 2017, 13:18",New Flows
376,franhale,Proteus,DJ Hazard,"28 Mar 2017, 13:13",Food Fight / Proteus
377,franhale,German Whip,Meridian Dan,"28 Mar 2017, 13:09",German Whip
378,franhale,Test Me,JME,"28 Mar 2017, 13:05",Integrity>
379,franhale,Shutdown,Skepta,"28 Mar 2017, 13:02",KONNICHIWA
380,franhale,Power,K Koke,"28 Mar 2017, 12:58",Best of U.S.G. Vol. 3
381,franhale,Return Of The Rucksack,Stormzy,"28 Mar 2017, 12:55",Gang Signs & Prayer
382,franhale,"In Skengs We Trust (feat. Asap, Monkey & Ld)",67,"28 Mar 2017, 12:51",In Skengs We Trust
383,franhale,Round & Round,Flowdan,"28 Mar 2017, 12:48",Lord Of The Mics V
384,franhale,It Remembers,Every Time I Die,"28 Mar 2017, 11:49",Low Teens (Deluxe Edition)
385,franhale,11:11,Dinosaur Pile-Up,"28 Mar 2017, 11:45",Eleven Eleven
386,franhale,Hurricane,While She Sleeps,"28 Mar 2017, 11:40",Hurricane
387,franhale,You Really Got Me - Mono Mix,The Kinks,"28 Mar 2017, 11:38",Kinks (Deluxe Edition)
388,franhale,Happy Song,Bring Me the Horizon,"28 Mar 2017, 11:34",That's The Spirit
389,franhale,Bad Reputation,Joan Jett,"28 Mar 2017, 11:31",Bad Reputation (Remastered)
390,franhale,Destroyed By Hippie Powers,Car Seat Headrest,"28 Mar 2017, 11:25",Teens Of Denial
391,franhale,I'm Not Your Girl,ESTRONS,"28 Mar 2017, 11:22",She's Here Now
392,franhale,Fake My Own Death,Sum 41,"28 Mar 2017, 11:19",13 Voices
393,franhale,Go Outside,Viola Beach,"28 Mar 2017, 11:15",Viola Beach
394,franhale,Itch,Nothing But Thieves,"28 Mar 2017, 11:11",Nothing But Thieves (Deluxe)
395,franhale,Flagpole Sitta,Venice Sunlight,"28 Mar 2017, 11:08",Vs. the Aluminum Poles
396,franhale,Something More Original,Dead!,"28 Mar 2017, 11:04",Something More Original
397,franhale,D'you Know What I Mean? - Ng's 2016 Rethink,Oasis,"28 Mar 2017, 10:47",Be Here Now (Remastered)
398,franhale,Silk,Wolf Alice,"28 Mar 2017, 10:43",My Love Is Cool
399,franhale,NO CD,Loyle Carner,"28 Mar 2017, 10:39",Yesterday's Gone
